model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
BlackBerry Pearl 8120|||Released 2007, October|||91g, 14mm thickness|||BlackBerry OS|||32MB RAM storage, microSDHC slot|||2.2"|||240x260 pixels|||2|||MP|||Video recorder|||32|||MB RAM|||MISSING|||900|||mAh|||Li-Ion|||1|||Titanium, Blue, Sunset|||32MB,64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-8120.gif
BlackBerry Bold 9650|||Released 2010, July|||136g, 14mm thickness|||BlackBerry OS|||512MB storage, microSDHC slot|||2.44"|||480x360 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1400|||mAh|||Li-Ion|||1|||Black|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Bold-9650.jpg
BlackBerry Curve 9220|||Released 2012, May|||102g, 12.7mm thickness|||BlackBerry OS 7.1|||512MB ROM storage, microSDHC slot|||2.44"|||320x240 pixels|||2|||MP|||Video recorder|||512|||MB RAM|||MISSING|||1450|||mAh|||Li-Ion|||1|||Black, Fuchsia Pink, Pure White, Teal Blue|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9220-ofic.jpg
BlackBerry Playbook Wimax|||Released 2010, September|||425g, 10mm thickness|||BlackBerry Tablet OS|||16GB/32GB/64GB storage, no card slot|||7.0"|||600x1024 pixels|||5|||MP|||1080p|||1|||GB RAM|||TI OMAP 4430|||5300|||mAh|||Li-Po|||1|||Black|||16GB,32GB,64GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook.jpg
BlackBerry Bold 9780|||Released 2010, November|||122g, 14mm thickness|||BlackBerry OS 6.0|||256MB 512MB RAM storage, microSDHC slot|||2.44"|||480x360 pixels|||5|||MP|||Video recorder|||512|||MB RAM|||MISSING|||1500|||mAh|||Li-Po|||1|||Black, White|||256MB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-9780.jpg
BlackBerry DTEK60|||Released 2016, October|||165g, 7mm thickness|||Android 6.0|||32GB storage, microSDXC|||5.5"|||1440x2560 pixels|||21|||MP|||2160p|||4|||GB RAM|||Snapdragon 820|||3000|||mAh|||Li-Ion|||1|||Black|||32GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg
BlackBerry Pearl Flip 8230|||Released 2009, May|||102g, 17.5mm thickness|||BlackBerry OS|||128MB RAM storage, microSDHC slot|||2.6"|||240x320 pixels|||2|||MP|||Video recorder|||128|||MB RAM|||MISSING|||900|||mAh|||Li-Ion|||1|||Black, Red, Pink|||128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-pearl-flip-8230.jpg
BlackBerry Torch 9800|||Released 2010, August|||161g, 14.6mm thickness|||BlackBerry OS 6.0|||4GB 512MB RAM storage, microSDHC slot|||3.2"|||360x480 pixels|||5|||MP|||480p|||512|||MB RAM|||MISSING|||1300|||mAh|||Li-Ion|||1|||Black, White, Dark Orange|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-torch.jpg
BlackBerry 4G LTE Playbook|||Released 2012, August|||425g, 10mm thickness|||BlackBerry Tablet 2.0|||32GB storage, no card slot|||7.0"|||600x1024 pixels|||5|||MP|||1080p|||1|||GB RAM|||MISSING|||MISSING|||MISSING|||Li-Po|||1|||Black|||32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook-4g-lte.jpg
BlackBerry Tour 9630|||Released 2009, July|||130g, 14.2mm thickness|||BlackBerry OS|||256MB storage, microSDHC slot|||2.4"|||480x360 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1400|||mAh|||Li-Ion|||1|||Black|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/bb-tour-9630.jpg
BlackBerry Priv|||Released 2015, November|||192g, 9.4mm thickness|||Android 5.1.1, up to 6.0.1|||32GB storage, microSDXC|||5.4"|||1440x2560 pixels|||18|||MP|||2160p|||3|||GB RAM|||Snapdragon 808|||3410|||mAh|||Li-Ion|||1|||Black|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg
BlackBerry Aurora|||Released 2017, March|||178g, 8.5mm thickness|||Android 7.0|||32GB storage, microSDXC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||4|||GB RAM|||Snapdragon 425|||3000|||mAh|||Li-Ion|||2|||Black, Silver, Gold|||32GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg
BlackBerry 8707v|||Released 2006, May|||139g, 19.5mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, no card slot|||2.6"|||320x240 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1500|||mAh|||Li-Ion|||1|||Silver|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-8707v.gif
