model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Huawei MediaPad M5 10|||Released 2018, April|||498g, 7.3mm thickness|||Android 8.0, EMUI 8|||32GB/64GB/128GB storage, microSDXC|||10.8"|||2560x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Kirin 960s|||7500|||mAh|||Li-Po|||1|||Space Gray, Champagne Gold|||32GB,64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m5-10.jpg
Huawei Watch 2 Pro|||Released 2017, November|||64g, 12.6mm thickness|||Android Wear OS 2.1|||4GB 768MB RAM storage, no card slot|||1.2"|||390x390 pixels|||MISSING|||MISSING|||No video recorder|||768|||MB RAM|||Snapdragon Wear 2100|||420|||mAh|||Li-Ion|||1|||Titanium Grey|||4GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-2-pro.jpg
Huawei Ascend G525|||Released 2013|||155g, 9.9mm thickness|||Android 4.1|||4GB 1GB RAM storage, microSDHC slot|||4.5"|||540x960 pixels|||5|||MP|||Video recorder|||1|||GB RAM|||Snapdragon S4 Play|||1700|||mAh|||Li-Ion|||2|||Black, White|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g525.jpg
Huawei nova 5 Pro|||Released 2019, June|||171g, 7.3mm thickness|||Android 9.0, EMUI 9.1|||128GB/256GB storage, NM|||6.39"|||1080x2340 pixels|||48|||MP|||2160p|||8|||GB RAM|||Kirin 980|||3500|||mAh|||Li-Po|||2|||Black, Purple, Green, Orange|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5-pro-new.jpg
Huawei Enjoy 10e|||Released 2020, March|||185g, 9mm thickness|||Android 10, EMUI 10, no Google Play Services|||64GB/128GB storage, microSD|||6.3"|||720x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Helio P35|||5000|||mAh|||Li-Po|||2|||Pearl White, Emerald Green, Midnight Black|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-10-e.jpg
Huawei P8 Lite (2017)|||Released 2017, January|||147g, 7.6mm thickness|||Android 7.0, up to Android 8.0, EMUI 9|||16GB/32GB/64GB storage, microSDXC|||5.2"|||1080x1920 pixels|||12|||MP|||1080p|||3/4|||GB RAM|||Kirin 655|||3000|||mAh|||Li-Ion|||2|||Black, White, Gold, Blue|||16GB,32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-p8-lite-2017.jpg
Huawei P40 Pro+|||Released 2020, June 06|||226g, 9mm thickness|||Android 10, EMUI 10.1|||256GB/512GB storage, NM|||6.58"|||1200x2640 pixels|||50|||MP|||2160p|||8|||GB RAM|||Kirin 990 5G|||4200|||mAh|||Li-Po|||2|||White Ceramic, Black Ceramic|||256GB,512GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-pro-plus.jpg
Huawei Y6II Compact|||Released 2016, September|||140g, 8.9mm thickness|||Android 5.1, up to 6.0, EMUI 3.1|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||720p|||2|||GB RAM|||MT6735|||2200|||mAh|||Li-Po|||2|||Black, White, Gold|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-y6-ii-compact.jpg
Huawei G7300|||Released 2011, November|||110g, 11.5mm thickness|||Feature phone|||40MB storage, microSDHC slot|||3.5"|||320x480 pixels|||3|||MP|||480p|||MISSING|||MISSING|||MT6236|||1300|||mAh|||Li-Ion|||1|||Black|||40MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-g7300.jpg
Huawei Enjoy 20 SE|||Released 2021, January 19|||206g, 9.3mm thickness|||Android 10, EMUI 10.1|||128GB storage, microSDXC|||6.67"|||1080x2400 pixels|||13|||MP|||1080p|||4/8|||GB RAM|||Kirin 710A|||5000|||mAh|||Li-Po|||2|||Crush Green, Blush Gold, Midnight Black|||128GB|||4GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20-se.jpg
Huawei Ascend W3|||Cancelled|||10mm thickness|||Microsoft Windows Phone 8|||1GB RAM storage, microSDHC slot|||4.5"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black/Silver|||1GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-w2.jpg
Huawei Ascend Y300|||Released 2013, March|||130g, 11.2mm thickness|||Android 4.1|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||480p|||512|||MB RAM|||Snapdragon S4 Play|||1730|||mAh|||Li-Ion|||1|||Black, White|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-y300.jpg
Huawei MediaPad X2|||Released 2015, May|||239g, 7.2mm thickness|||Android 5, up to 6, EMUI 3|||16GB/32GB storage, microSDXC|||7.0"|||1200x1920 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||Kirin 930|||5000|||mAh|||Li-Po|||2|||Moonlight silver, Amber gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/Huawei-MediaPad-X2.jpg
Huawei nova 6 SE|||Released 2019, December|||183g, 8.7mm thickness|||Android 10, EMUI 10, no Google Play Services|||128GB storage, NM|||6.4"|||1080x2310 pixels|||48|||MP|||1080p|||8|||GB RAM|||Kirin 810|||4200|||mAh|||Li-Po|||2|||Black, Emerald Green, Light Pink/Blue|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6-se.jpg
Huawei P30 Pro New Edition|||Released 2020, June 01|||192g, 8.4mm thickness|||Android 10, EMUI 10.1, Google Play Services|||128GB/256GB storage, NM|||6.47"|||1080x2340 pixels|||40|||MP|||2160p|||6/8|||GB RAM|||Kirin 980|||4200|||mAh|||Li-Po|||2|||Aurora, Black, Silver Frost|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-pro-new-edition.jpg
Huawei Mate X2 4G|||Released 2021, July 15|||295g, 8.2mm thickness|||HarmonyOS 2.0|||256GB/512GB storage, NM|||8.0"|||2200x2480 pixels|||50|||MP|||2160p|||8|||GB RAM|||Kirin 9000|||4500|||mAh|||Li-Po|||2|||Black, White, Light Blue|||256GB,512GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x2-new.jpg
Huawei G6620|||Released 2011, July|||12mm thickness|||Feature phone|||microSDHC slot|||2.4"|||320x240 pixels|||1.3|||MP|||MISSING|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||2|||Gray, Blue, Orange|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-g6620.jpg
Huawei IDEOS S7|||Released 2010, Q1|||500g, 15.5mm thickness|||Android 2.1, up to 2.2|||8GB storage, microSDHC|||7.0"|||480x800 pixels|||2|||MP|||Video recorder|||256|||MB RAM|||Snapdragon S1|||2200|||mAh|||Li-Ion|||1|||Black|||8GB|||256MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-s7.jpg
Huawei nova 8|||Released 2021, August 05|||169g, 7.6mm thickness|||Android 11, EMUI 12, no Google Play Services|||128GB/256GB storage, no card slot|||6.57"|||1080x2340 pixels|||64|||MP|||2160p|||8|||GB RAM|||Kirin 820E|||3800|||mAh|||Li-Po|||2|||Powder Pink|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8.jpg
Huawei G5000|||Released 2012, Q2|||15.1mm thickness|||Feature phone|||16MB ROM storage, microSD slot|||2.0"|||176x220 pixels|||0.3|||MP|||MISSING|||4|||MB RAM|||MT6252|||1000|||mAh|||Li-Ion|||2|||Black|||4MB,16MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-g5000.jpg
Huawei Enjoy Z 5G|||Released 2020, June 03|||182g, 8.4mm thickness|||Android 10, EMUI 10.1|||64GB/128GB storage, NM|||6.5"|||1080x2400 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Dimensity 800 5G|||4000|||mAh|||Li-Po|||2|||Breathing Crystal, Midnight Black, Dark Blue|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-z-5g.jpg
Huawei Y9 (2019)|||Released 2018, October 01|||173g, 8.1mm thickness|||Android 8.1, EMUI 8.2|||64GB/128GB storage, microSDXC|||6.5"|||1080x2340 pixels|||13|||MP|||1080p|||3-6|||GB RAM|||Kirin 710|||4000|||mAh|||Li-Ion|||2|||Midnight Black, Sapphire Blue, Aurora Purple|||64GB,128GB|||3GB,4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-y9-2019-.jpg
Huawei MediaPad 7 Youth|||Released 2013, August|||350g, 9.9mm thickness|||Android 4.1.2|||8GB storage, microSDHC|||7.0"|||600x1024 pixels|||3|||MP|||Video recorder|||1|||GB RAM|||MISSING|||4100|||mAh|||Li-Po|||1|||Black/Silver|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-7-youth.jpg
Huawei T211|||Released 2008, Q3|||MISSING|||Feature phone|||No card slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-t211.jpg
Huawei Mate 30 RS Porsche Design|||Released 2019, November|||198g, 9.3mm thickness|||Android 10, EMUI 10, no Google Play Services|||512GB storage, NM|||6.53"|||1176x2400 pixels|||40|||MP|||2160p|||12|||GB RAM|||Kirin 990 5G|||4500|||mAh|||Li-Po|||2|||Black, Red|||512GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-30-rs-porsche-design.jpg
Huawei Ascend G6|||Released 2014, May|||115g, 7.5mm thickness|||Android 4.3, EMUI Lite 2|||4GB 1GB RAM storage, microSDHC slot|||4.5"|||540x960 pixels|||8|||MP|||720p|||1|||GB RAM|||MISSING|||2000|||mAh|||Li-Ion|||1|||Black, White, Blue, Gold, Pink|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g6-new.jpg
