model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
LG K10 (2018)|||Released 2018, June|||162g, 8.7mm thickness|||Android 7.1.2|||16GB/32GB storage, microSDXC|||5.3"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6750|||3000|||mAh|||Li-Ion|||2|||Aurora Black, Moroccan Blue, Terra Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-k10-2018-.jpg
LG L70 Dual D325|||Released 2014, May|||126.6g, 9.5mm thickness|||Android 4.4.2, LG UI 3|||4GB 1GB RAM storage, microSDHC slot|||4.5"|||480x800 pixels|||5|||MP|||480p|||1|||GB RAM|||Snapdragon 200|||2100|||mAh|||Li-Ion|||2|||White, Black|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-l70-dual.jpg
LG V9000|||Released 2006, February|||142g, 23.5mm thickness|||Feature phone|||microSD slot|||2.2"|||240x320 pixels|||1.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1400|||mAh|||Li-Ion|||1|||Silver|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-v9000.gif
LG Q51|||Released 2020, February 26|||8.4mm thickness|||Android 10|||32GB storage, microSDXC|||6.5"|||720x1520 pixels|||13|||MP|||1080p|||3|||GB RAM|||Helio P22|||4000|||mAh|||Li-Po|||2|||Frozen White, Moonlight Titanium|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-q51.jpg
LG GM750|||Released 2009, October|||120g, 12.9mm thickness|||Microsoft Windows Mobile 6.5 Professional|||200MB storage, microSDHC slot|||3.0"|||240x400 pixels|||5|||MP|||Video recorder|||MISSING|||MISSING|||MSM7201A|||1500|||mAh|||Li-Ion|||1|||Black|||200MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gm750.jpg
LG L3100|||Released 2004, Q2|||87g, 18mm thickness|||Feature phone|||1.5MB storage, no card slot||| |||128x160 pixels|||0.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||MISSING|||1MB|||5MB|||https://fdn2.gsmarena.com/vv/bigpic/lgl3100.gif
LG GS190|||Released 2010|||85g, 13.8mm thickness|||Feature phone|||4MB storage, microSDHC slot|||2.0"|||128x160 pixels|||0.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Black|||4MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gs190.jpg
LG V30|||Released 2017, December 05|||158g, 7.3mm thickness|||Android 7.1.2, up to Android 9.0|||64GB/128GB storage, microSDXC|||6.0"|||1440x2880 pixels|||16|||MP|||2160p|||4|||GB RAM|||Snapdragon 835|||3300|||mAh|||Li-Po|||2|||Aurora Black, Cloud Silver, Moroccan Blue, Lavender Violet, Raspberry Rose|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-v30-.jpg
LG P520|||Released 2010, December|||120g, 12.9mm thickness|||Feature phone|||15MB 32MB RAM 128MB ROM storage, microSDHC slot|||2.8"|||240x320 pixels|||2|||MP|||240p|||32|||MB RAM|||MISSING|||1500|||mAh|||Li-Po|||2|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-p520.jpg
LG KF240|||Released 2009, Q1|||91g, 16mm thickness|||Feature phone|||20MB storage, microSD slot|||2.0"|||176x220 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||Black|||20MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kf240.jpg
LG A100|||Released 2011, Q2|||58g, 13mm thickness|||Feature phone|||No card slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Dark Grey, Brown White, Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-a100-new.jpg
LG K41S|||Released 2020, April 27|||191.7g, 8.3mm thickness|||Android 9.0|||32GB storage, microSDXC|||6.55"|||720x1600 pixels|||13|||MP|||1080p|||3|||GB RAM|||Helio P22|||4000|||mAh|||Li-Po|||2|||Titanium, Black, White|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-k41ss.jpg
LG K8 (2017)|||Released 2017, April|||144g, 8mm thickness|||Android 7.0|||16GB storage, microSDHC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||1.5|||GB RAM|||Snapdragon 425|||2500|||mAh|||Li-Ion|||2|||Silver, Titan, Gold, Dark Blue|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-k8-2017.jpg
LG Magna|||Released 2015, May|||137g, 10.1mm thickness|||Android 5.0.1, up to 6.0.1|||8GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||MT6582|||2540|||mAh|||Li-Ion|||2|||Black, White, Gold|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-magna-.jpg
LG T5100|||Released 2004, Q1|||120g, 26mm thickness|||Feature phone|||No card slot||| |||176x220 pixels|||1.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||720|||mAh|||Li-Ion|||1|||Silver|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lgt5100.gif
LG W10 Alpha|||Released 2020, February 19|||170g, 8.9mm thickness|||Android 9.0|||32GB storage, microSDXC|||5.71"|||720x1512 pixels|||8|||MP|||1080p|||3|||GB RAM|||Unisoc SC9863A|||3450|||mAh|||Li-Po|||2|||Black, Blue|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-w10-alpha-.jpg
