model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Nokia 6280|||Released 2005, June|||115g, 21mm thickness|||Feature phone|||6MB storage, miniSD slot|||2.2"|||240x320 pixels|||2|||MP|||480p|||MISSING|||MISSING|||MISSING|||970|||mAh|||Li-Ion|||1|||Carbon Black, Graphite grey|||6MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6280.gif
Nokia 1112|||Released 2006, March|||80g, 17mm thickness|||Feature phone|||4MB storage, no card slot||| |||96x68 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Red, Blue, Black|||4MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-1112.gif
Nokia 6760 slide|||Released 2009, October|||123.9g, 15.5mm thickness|||Symbian, S60 rel. 3.2|||120MB storage, microSDHC slot|||2.4"|||320x240 pixels|||3|||MP|||240p|||MISSING|||MISSING|||MISSING|||1500|||mAh|||Li-Ion|||1|||Black, Red, White|||120MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6760-slide.jpg
Nokia 5220 XpressMusic|||Released 2008, July|||78g, 10.5mm thickness|||Feature phone|||30MB storage, microSDHC slot|||2.0"|||240x320 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||1020|||mAh|||Li-Ion|||1|||Blue, Red, Green|||30MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-5220.jpg
Nokia C3|||Released 2020, August 13|||184.5g, 8.7mm thickness|||Android 10|||16GB/32GB storage, microSDXC|||5.99"|||720x1440 pixels|||8|||MP|||1080p|||2/3|||GB RAM|||Unisoc SC9863A|||3040|||mAh|||Li-Ion|||2|||Nordic blue, Sand gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-c3-2020.jpg
Nokia X3-02 Touch and Type|||Released 2010, September|||77.4g, 9.6mm thickness|||Feature phone|||256MB ROM storage, microSDHC slot|||2.4"|||240x320 pixels|||5|||MP|||480p|||MISSING|||MISSING|||MISSING|||860|||mAh|||Li-Ion|||1|||White Silver, Dark Metal, Petrol Blue, Pink, Lilac|||128MB,256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/Nokia-X3-02.jpg
Nokia Asha 300|||Released 2011, November|||85g, 12.7mm thickness|||Feature phone|||140MB 256MB ROM 128MB RAM storage, microSDHC slot|||2.4"|||240x320 pixels|||5|||MP|||480p|||128|||MB RAM|||MISSING|||1110|||mAh|||Li-Ion|||1|||Graphite, Night Shade, Gold, White Silver, Pink, Red|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-asha-300.jpg
Nokia 225|||Released 2014, May|||99.8g, 10.4mm thickness|||Feature phone|||microSDHC slot|||2.8"|||240x320 pixels|||2|||MP|||240p|||MISSING|||MISSING|||MISSING|||1200|||mAh|||Li-Ion|||1|||Red, yellow, green, black, white|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-225-ss.jpg
Nokia 6030|||Released 2005, Q1|||90g, 18mm thickness|||Feature phone|||3MB storage, no card slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black, Champagne|||3MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6030.gif
Nokia 113|||Released 2012, September|||77g, 14.8mm thickness|||Feature phone|||16MB storage, microSDHC slot|||1.8"|||128x160 pixels|||0.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||Black, Magenta, Lime Green, Cyan|||16MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-113.jpg
