model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Honor 6|||Released 2014, August|||130g, 7.5mm thickness|||Android 4.4.2, up to 6.0, EMUI 3.1|||16GB/32GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||3|||GB RAM|||Kirin 920|||3100|||mAh|||Li-Po|||2|||Black, White|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-6.jpg
Honor 8X Max|||Released 2018, September|||210g, 8.1mm thickness|||Android 8.1, up to Android 9, EMUI 9|||64GB/128GB storage, microSDXC|||7.12"|||1080x2244 pixels|||16|||MP|||1080p|||4/6|||GB RAM|||Snapdragon 660|||5000|||mAh|||Li-Po|||2|||Black, Blue, Red|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x-max.jpg
Honor 8X|||Released 2018, September|||175g, 7.8mm thickness|||Android 8.1, up to Android 9.0, EMUI 9.0|||64GB/128GB storage, microSDXC|||6.5"|||1080x2340 pixels|||20|||MP|||1080p|||4/6|||GB RAM|||Kirin 710|||3750|||mAh|||Li-Po|||2|||Black, Blue, Red, Pink|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x.jpg
Honor 20i|||Released 2019, April|||164g, 8mm thickness|||Android 9.0, EMUI 9.1|||64GB/128GB/256GB storage, microSDXC|||6.21"|||1080x2340 pixels|||24|||MP|||1080p|||4/6|||GB RAM|||Kirin 710|||3400|||mAh|||Li-Po|||2|||Gradient Blue, Gradient red, Magic Night Black|||64GB,128GB,256GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-20i.jpg
Honor Note 10|||Released 2018, August|||230g, 7.7mm thickness|||Android 8.1, EMUI 8.2|||64GB/128GB storage, microSDXC|||6.95"|||1080x2220 pixels|||16|||MP|||2160p|||6/8|||GB RAM|||Kirin 970|||5000|||mAh|||Li-Po|||2|||Midnight Black, Phantom Blue|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-note10-cn.jpg
Honor Tablet V7|||Released 2021, October 01|||480g, 7.9mm thickness|||Android 11, Magic UI 5.0|||128GB storage, microSDXC|||10.4"|||1200x2000 pixels|||13|||MP|||1080p|||6/8|||GB RAM|||MediaTek Kompanio 900T 5G|||7250|||mAh|||Li-Po|||1|||Gold, Blue, Silver|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-tablet-v7.jpg
Honor 8|||Released 2016, July|||153g, 7.5mm thickness|||Android 6.0, up to Android 8.0, EMUI 8|||32GB/64GB storage, microSDXC|||5.2"|||1080x1920 pixels|||12|||MP|||1080p|||4|||GB RAM|||Kirin 950|||3000|||mAh|||Li-Po|||2|||Pearl White, Midnight Black, Sapphire Blue, Gold|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8r1.jpg
Honor 30S|||Released 2020, April 07|||190g, 8.6mm thickness|||Android 10, Magic UI 3|||128GB/256GB storage, NM|||6.5"|||1080x2400 pixels|||64|||MP|||2160p|||6/8|||GB RAM|||Kirin 820 5G|||4000|||mAh|||Li-Po|||2|||Black, Blue, Green, Gradient, Butterfly Feather Red|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-30s.jpg
Honor Play 9A|||Released 2020, April 03|||185g, 9mm thickness|||Android 10, Magic UI 3.0|||64GB/128GB storage, microSDXC|||6.3"|||720x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Helio P35|||5000|||mAh|||Li-Po|||2|||Blue Water Emerald, Jasper Green, Dark Night Black|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-9a-r.jpg
Honor U8860|||Released 2011, December|||140g, 11mm thickness|||Android 2.3, up to 4.0|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x854 pixels|||8|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1930|||mAh|||Li-Ion|||1|||Glossy Black, Textured Black, Elegant White, Vibrant Yellow, Cherry Blossom Pink, Burgundy|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor.jpg
Honor X10 Max 5G|||Released 2020, July 03|||232g, 8.3mm thickness|||Android 10, Magic UI 3.1|||64GB/128GB storage, NM|||7.09"|||1080x2280 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Dimensity 800 5G|||5000|||mAh|||Li-Po|||2|||Black, Blue, Silver|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-x10-max.jpg
Honor View 20|||Released 2018, December|||180g, 8.1mm thickness|||Android 9.0, up to Android 10, Magic UI 4.0|||128GB/256GB storage, no card slot|||6.4"|||1080x2310 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Kirin 980|||4000|||mAh|||Li-Po|||2|||Saphire Blue, Phantom Blue, Phantom Red, Midnight Black|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-view-20-ofic.jpg
Honor X10 5G|||Released 2020, May 26|||203g, 8.8mm thickness|||Android 10, Magic UI 3.1|||64GB/128GB storage, NM|||6.63"|||1080x2400 pixels|||40|||MP|||2160p|||6/8|||GB RAM|||Kirin 820 5G|||4300|||mAh|||Li-Po|||2|||Blue, Orange, Black, Silver|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-x10-5g.jpg
Honor 20 lite|||Released 2019, April|||164g, 8mm thickness|||Android 9.0, EMUI 9|||64GB/128GB storage, microSDXC|||6.21"|||1080x2340 pixels|||24|||MP|||1080p|||4-8|||GB RAM|||Kirin 710|||3400|||mAh|||Li-Po|||2|||Phantom Blue, Phantom Red, Magic Night Black|||64GB,128GB|||4GB,6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-20-lite.jpg
Honor V30 Pro|||Released 2019, December|||206g, 8.8mm thickness|||Android 10, Magic UI 3|||128GB/256GB storage, no card slot|||6.57"|||1080x2400 pixels|||40|||MP|||2160p|||8|||GB RAM|||Kirin 990 5G|||4100|||mAh|||Li-Po|||2|||Ocean Blue, Galaxy Black, Icelandic frost|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-v30-pro.jpg
Honor Tab 5|||Released 2019, March|||310g, 8.2mm thickness|||Android 9.0, Magic 2|||32GB/64GB/128GB storage, microSDXC|||8.0"|||1920x1200 pixels|||8|||MP|||1080p|||3/4|||GB RAM|||Kirin 710|||5100|||mAh|||Li-Po|||2|||Silver, Blue|||32GB,64GB,128GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-tab-5.jpg
Honor 9X Lite|||Released 2020, May 14|||188g, 7.8mm thickness|||Android 9.0, EMUI 9.1, Google Play Services|||128GB storage, microSDXC|||6.5"|||1080x2340 pixels|||48|||MP|||1080p|||4|||GB RAM|||Kirin 710F|||3750|||mAh|||Li-Po|||2|||Emerald Green, Midnight Black|||128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9x-lite.jpg
Honor 30 Youth|||Released 2020, July 08|||192g, 8.4mm thickness|||Android 10, Magic UI 3.1|||64GB/128GB storage, NM|||6.5"|||1080x2400 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Dimensity 800 5G|||4000|||mAh|||Li-Po|||2|||Magic Night Black, Dark Blue, Galaxy Silver|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-30-lite.jpg
Honor 20e|||Released 2020, April 27|||164g, 8mm thickness|||Android 9.0, EMUI 9.1, Google Play Services|||64GB storage, microSDXC|||6.21"|||1080x2340 pixels|||24|||MP|||1080p|||6|||GB RAM|||Kirin 710F|||3400|||mAh|||Li-Po|||2|||Midnight Black, Phantom Blue|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-20e.jpg
Honor Play 4T|||Released 2020, April 14|||176g, 8.1mm thickness|||Android 10, Magic UI 3|||128GB storage, microSDXC|||6.39"|||720x1560 pixels|||48|||MP|||1080p|||6|||GB RAM|||Kirin 710A|||4000|||mAh|||Li-Po|||2|||Black, Blue, Green|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-4t.jpg
Honor Magic 2 3D|||Released 2019, March|||206g, 8.3mm thickness|||Android 9.0, EMUI 9 or Magic UI 2|||128GB/256GB/512GB storage, no card slot|||6.39"|||1080x2340 pixels|||24|||MP|||2160p|||6/8|||GB RAM|||Kirin 980|||3500|||mAh|||Li-Po|||2|||Gradient Black, Gradient Red, Gradient Blue|||128GB,256GB,512GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-magic-2-3d.jpg
Honor 3C 4G|||Released 2014, June|||140g, 9.2mm thickness|||Android 4.4.2, EMUI 2.3|||8GB/16GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1/2|||GB RAM|||Kirin 910|||2300|||mAh|||Li-Ion|||1|||White/Black|||8GB,16GB|||1GB,2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-3c-4g.jpg
Honor Play4|||Released 2020, June 13|||213g, 8.9mm thickness|||Android 10, Magic UI 3.1|||128GB storage, microSDXC|||6.81"|||1080x2400 pixels|||64|||MP|||2160p|||8|||GB RAM|||Dimensity 800 5G|||4300|||mAh|||Li-Po|||2|||Black, Blue, Light Blue|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play4.jpg
Honor 9C|||Released 2020, May 04|||176g, 8.1mm thickness|||Android 10, EMUI 10.1|||64GB storage, microSDXC|||6.39"|||720x1560 pixels|||48|||MP|||1080p|||4|||GB RAM|||Kirin 710A|||4000|||mAh|||Li-Po|||2|||Black, Blue|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-9c.jpg
Honor 7i|||Released 2015, August|||160g, 7.8mm thickness|||Android 5.1.1, up to 6.0, EMUI 3.1|||16GB/32GB storage, microSDXC|||5.2"|||1080x1920 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||Snapdragon 616|||3100|||mAh|||Li-Po|||2|||Black, White, Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-7i.jpg
Honor 60 SE|||Exp. release 2022, January 17|||MISSING|||Android 11, Magic UI 5.0|||128GB/256GB storage, no card slot|||6.67"|||1080x2400 pixels|||64|||MP|||1080p|||8|||GB RAM|||Dimensity 900 5G|||4300|||mAh|||Li-Ion|||2|||Black, Green, Blue|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-60-se.jpg
Honor 9 Lite|||Released 2017, December|||149g, 7.6mm thickness|||Android 8.0, up to Android 9.0, EMUI 9.1|||32GB/64GB storage, microSDXC|||5.65"|||1080x2160 pixels|||13|||MP|||1080p|||3/4|||GB RAM|||Kirin 659|||3000|||mAh|||Li-Po|||2|||Midnight Black, Sapphire Blue, Glacier Gray, Navy, Seagull Gray, Magic Nightfall, Pearl White|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9-lite.jpg
Honor 20 Pro|||Released 2019, July|||182g, 8.4mm thickness|||Android 9.0, Magic 2.1|||128GB/256GB storage, no card slot|||6.26"|||1080x2340 pixels|||48|||MP|||2160p|||8|||GB RAM|||Kirin 980|||4000|||mAh|||Li-Po|||2|||Phantom Blue, Phantom Black, Icelandic Illusion|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-20-pro-r.jpg
Honor Tablet V7 Pro|||Released 2021, August 19|||485g, 7.3mm thickness|||Android 11, Magic UI 5.0|||128GB/256GB storage, microSDXC|||11.0"|||1600x2560 pixels|||13|||MP|||2160p|||6/8|||GB RAM|||Kompanio 1300T|||7250|||mAh|||Li-Po|||1|||Gold, Blue, Silver|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-tablet-v7-pro-1.jpg
Honor 9N (9i)|||Released 2018, July|||152g, 7.7mm thickness|||Android 8.0, EMUI 8|||32GB/64GB/128GB storage, microSDXC|||5.84"|||1080x2280 pixels|||13|||MP|||1080p|||3/4|||GB RAM|||Kirin 659|||3000|||mAh|||Li-Po|||2|||Lavender Purple, Robin Egg Blue, Sapphire Blue, Midnight Black|||32GB,64GB,128GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9n.jpg
Honor 4X|||Released 2014, October|||165g, 8.7mm thickness|||Android 4.4.2, up to 6, EMUI 3|||8GB storage, microSDHC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Kirin 620|||3000|||mAh|||Li-Po|||2|||White, Black|||8GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-4x.jpg
Honor Magic3|||Released 2021, August 20|||203g (Glass) / 202g (Vegan Leather), 9mm thickness|||Android 11, Magic UI 5, Google Play Services|||128GB/256GB storage, no card slot|||6.76"|||1344x2772 pixels|||50|||MP|||2160p|||8|||GB RAM|||Snapdragon 888 5G|||4600|||mAh|||Li-Po|||2|||Golden Hour (Vegan Leather), Blue Hour (Vegan  Leather), Black, White|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-magic3.jpg
Honor 50 SE|||Released 2021, July 02|||191g, 8mm thickness|||Android 11, Magic UI 4.2|||128GB/256GB storage, no card slot|||6.78"|||1080x2388 pixels|||108|||MP|||2160p|||8/12|||GB RAM|||Dimensity 900 5G|||4000|||mAh|||Li-Po|||2|||Black, Blue, Silver|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-50-se.jpg
Honor Play 5T Pro|||Released 2021, August 05|||179g, 8.4mm thickness|||Android 11, Magic UI 4.0|||128GB storage, no card slot|||6.6"|||1080x2400 pixels|||64|||MP|||1080p|||8|||GB RAM|||MT6769V|||4000|||mAh|||Li-Po|||2|||Magic Black, Titanium Silver|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-5t-pro.jpg
Honor Play|||Released 2018, August|||176g, 7.5mm thickness|||Android 8.1, up to Android 9.0, EMUI 9.1|||64GB/128GB storage, microSDXC|||6.3"|||1080x2340 pixels|||16|||MP|||2160p|||4/6|||GB RAM|||Kirin 970|||3750|||mAh|||Li-Po|||2|||Midnight Black, Navy Blue, Violet, Player Edition Red, Player Edition Black|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-play-ofic.jpg
Honor View|||Cancelled|||MISSING|||Android 10|||128GB/256GB storage, no card slot|||6.4"|||1080x2310 pixels|||60|||MP|||2160p|||8|||GB RAM|||Kirin 990 5G|||4000|||mAh|||Li-Po|||2|||Blue, Orange, other colors|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-v30-pro-r.jpg
Honor 30 Pro|||Released 2020, April 21|||186g, 8.4mm thickness|||Android 10, Magic UI 3|||128GB/256GB storage, NM|||6.57"|||1080x2340 pixels|||40|||MP|||2160p|||8|||GB RAM|||Kirin 990 5G|||4000|||mAh|||Li-Po|||2|||Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-30-pro.jpg
Honor View30|||Released 2020, April 27|||213g, 8.9mm thickness|||Android 10, Magic UI 3|||128GB storage, no card slot|||6.57"|||1080x2400 pixels|||40|||MP|||2160p|||6/8|||GB RAM|||Kirin 990|||4200|||mAh|||Li-Po|||2|||Ocean Blue, Midnight Black, Icelandic Frost, Sunrise Orange|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-view30.jpg
Honor 3C|||Released 2013, December|||140g, 9.2mm thickness|||Android 4.2.2, EMUI Lite 2|||8GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||MT6582|||2300|||mAh|||Li-Po|||2|||White/Black|||8GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/Huawei-Honor-3C.jpg
Honor Play4 Pro|||Released 2020, June 10|||213g, 8.9mm thickness|||Android 10, Magic UI 3.1|||128GB storage, no card slot|||6.57"|||1080x2400 pixels|||40|||MP|||2160p|||8|||GB RAM|||Kirin 990|||4200|||mAh|||Li-Po|||2|||Black, Blue, Light Blue|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-4-pro.jpg
Honor X30 Max|||Released 2021, November 02|||228g, 8.3mm thickness|||Android 11, Magic UI 5.0|||128GB/256GB storage, no card slot|||7.09"|||1080x2280 pixels|||64|||MP|||2160p|||8|||GB RAM|||Dimensity 900 5G|||5000|||mAh|||Li-Po|||2|||Black, Blue, Silver/Violet|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-x30-max.jpg
Honor Note 8|||Released 2016, September|||219g, 7.2mm thickness|||Android 6.0.1, up to Android 8.0, EMUI 4.1|||32GB/64GB/128GB storage, microSDXC|||6.6"|||1440x2560 pixels|||13|||MP|||2160p|||4|||GB RAM|||Kirin 955|||4500|||mAh|||Li-Po|||2|||White, Gold, Gray|||32GB,64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-note8.jpg
