model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Sony Xperia S|||Released 2012, February|||144g, 10.6mm thickness|||Android 2.3, up to 4.1.2|||32GB storage, no card slot|||4.3"|||720x1280 pixels|||12|||MP|||1080p|||1|||GB RAM|||Snapdragon S3|||1750|||mAh|||Li-Ion|||1|||White, Black, Silver|||32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-s-ofic.jpg
Sony Xperia XZ3|||Released 2018, October 05|||193g, 9.9mm thickness|||Android 9.0, up to Android 10|||64GB storage, microSDXC|||6.0"|||1440x2880 pixels|||19|||MP|||2160p|||4/6|||GB RAM|||Snapdragon 845|||3300|||mAh|||Li-Ion|||2|||Black, Silver White, Forest Green, Bordeaux Red|||64GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz3-.jpg
Sony Xperia Pro-I|||Released 2021, December 02|||211g, 8.9mm thickness|||Android 11|||512GB storage, microSDXC|||6.5"|||1644x3840 pixels|||12|||MP|||2160p|||12|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Frosted Black|||512GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-i.jpg
Sony Xperia go|||Released 2012, July|||110g, 9.8mm thickness|||Android 2.3, up to 4.1.2|||8GB storage, microSDHC|||3.5"|||320x480 pixels|||5|||MP|||720p|||512|||MB RAM|||NovaThor U8500|||1305|||mAh|||Li-Ion|||1|||White, Black, Yellow|||512MB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-go.jpg
Sony Xperia Z3|||Released 2014, November 06|||152g, 7.3mm thickness|||Android 4.4.4, up to 6.0|||16GB/32GB storage, microSDXC|||5.2"|||1080x1920 pixels|||20|||MP|||2160p|||3|||GB RAM|||Snapdragon 801|||3100|||mAh|||Li-Ion|||1|||Black, White, Copper, Silver Green, Purple|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3.jpg
Sony Tablet S|||Released 2011, September|||598g, 10.1mm thickness|||Android 3.1, up to 4.0.3|||16GB/32GB storage, SD|||9.4"|||800x1280 pixels|||5|||MP|||720p|||1|||GB RAM|||Nvidia Tegra 2 T20|||MISSING|||MISSING|||Li-Ion|||1|||Black|||16GB,32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-tablet-s.jpg
Sony Xperia X Performance|||Released 2016, July 01|||164.4g, 8.7mm thickness|||Android 6.0.1, up to Android 8.0|||32GB/64GB storage, microSDXC|||5.0"|||1080x1920 pixels|||23|||MP|||1080p|||3|||GB RAM|||Snapdragon 820|||2700|||mAh|||Li-Ion|||2|||White, Graphite Black, Lime Gold, Rose Gold|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-x-performance.jpg
Sony Xperia sola|||Released 2012, May|||107g, 9.9mm thickness|||Android 2.3, up to 4.0|||8GB storage, microSDHC|||3.7"|||480x854 pixels|||5|||MP|||720p|||512|||MB RAM|||NovaThor U8500|||1320|||mAh|||Li-Ion|||1|||Black, White, Red|||512MB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-sola.jpg
Sony Xperia E1 dual|||Released 2014, March|||122g, 12mm thickness|||Android 4.3, up to 4.4.2, Timescape UI|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||3|||MP|||600p|||512|||MB RAM|||Snapdragon 200|||1750|||mAh|||Li-Ion|||2|||Black, Purple, White|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e1.jpg
Sony Xperia E1|||Released 2014, March|||120g, 12mm thickness|||Android 4.3, up to 4.4.2, Timescape UI|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||3|||MP|||600p|||512|||MB RAM|||Snapdragon 200|||1750|||mAh|||Li-Ion|||1|||Black, Purple, White|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e1.jpg
Sony Xperia X Premium|||Cancelled|||MISSING|||Android 6.0.1|||32GB/64GB storage, microSDXC|||5.5"|||2160x3840 pixels|||23|||MP|||1080p|||3|||GB RAM|||Snapdragon 820|||MISSING|||MISSING|||Li-Ion|||2|||White, Graphite Black, Lime Gold, Rose Gold|||32GB,64GB|||3GB|||MISSING
Sony Xperia 1 II|||Released 2020, May 22|||181.4g, 7.6mm thickness|||Android 10, up to Android 11|||256GB storage, microSDXC|||6.5"|||1644x3840 pixels|||12|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 865 5G|||4000|||mAh|||Li-Po|||2|||Black, Purple, Mirror Lake Green|||256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-II-o.jpg
Sony Xperia XA Ultra|||Released 2016, July|||202g, 8.4mm thickness|||Android 6.0.1, up to 7.0|||16GB storage, microSDXC|||6.0"|||1080x1920 pixels|||21|||MP|||1080p|||3|||GB RAM|||Helio P10|||2700|||mAh|||Li-Ion|||2|||White, Graphite Black, Lime Gold|||16GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa-ultra.jpg
Sony Xperia Z2 Tablet Wi-Fi|||Released 2014, March|||426g, 6.4mm thickness|||Android 4.4.2, up to 6.0|||16GB/32GB storage, microSDXC|||10.1"|||1200x1920 pixels|||8|||MP|||1080p|||3|||GB RAM|||Snapdragon 801|||6000|||mAh|||Li-Po|||1|||Black, White|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z2-tablet.jpg
Sony Xperia H8541|||Cancelled|||7.5mm thickness|||Android 8.0|||64GB storage, microSDXC|||5.7"|||2160x4320 pixels|||19|||MP|||2160p|||4|||GB RAM|||Snapdragon 835|||3420|||mAh|||Li-Ion|||2|||Black, Gold|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-render.jpg
