model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
OnePlus 7 Pro|||Released 2019, May 16|||206g, 8.8mm thickness|||Android 9.0, up to 11, OxygenOS 11.0.4|||128GB/256GB storage, no card slot|||6.67"|||1440x3120 pixels|||48|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 855|||4000|||mAh|||Li-Po|||2|||Mirror Grey, Almond, Nebula Blue|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg
OnePlus Nord CE 2 5G|||Released 2022, February 22|||173g, 7.8mm thickness|||Android 11, OxygenOS 11|||128GB storage, microSDXC|||6.43"|||1080x2400 pixels|||64|||MP|||2160p|||6/8|||GB RAM|||Dimensity 900 5G|||4500|||mAh|||Li-Po|||2|||Gray Mirror, Bahama Blue|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-5g.jpg
OnePlus 10 Pro|||Released 2022, January 13|||200.5g, 8.6mm thickness|||Android 12.1, ColorOS 12.1|||128GB/256GB/512GB storage, no card slot|||6.7"|||1440x3216 pixels|||50|||MP|||4320p|||8/12|||GB RAM|||Snapdragon 8 Gen 1|||5000|||mAh|||Li-Po|||2|||Black, Green, Panda White (Extreme Edition)|||128GB,256GB,512GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-10-pro.jpg
OnePlus 5T|||Released 2017, November 21|||162g, 7.3mm thickness|||Android 7.1.1, up to 10, OxygenOS 10.0.0|||64GB/128GB storage, no card slot|||6.01"|||1080x2160 pixels|||16|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 835|||3300|||mAh|||Li-Po|||2|||Midnight Black, Lava Red, Sandstone White|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-5t.jpg
OnePlus Nord|||Released 2020, August 04|||184g, 8.2mm thickness|||Android 10, up to 11, OxygenOS 11.1.4.4|||64GB/128GB/256GB storage, no card slot|||6.44"|||1080x2400 pixels|||48|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 765G 5G|||4115|||mAh|||Li-Po|||2|||Blue Marble, Gray Onyx (Gray Ash)|||64GB,128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord.jpg
OnePlus Nord N10 5G|||Released 2020, November 21|||190g, 9mm thickness|||Android 10, OxygenOS 10.5|||128GB storage, microSDXC|||6.49"|||1080x2400 pixels|||64|||MP|||2160p|||6|||GB RAM|||Snapdragon 690 5G|||4300|||mAh|||Li-Po|||2|||Midnight Ice|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n10-5g-.jpg
OnePlus 8 5G (T-Mobile)|||Released 2020, April 29|||180g, 8mm thickness|||Android 10, OxygenOS 10.0|||128GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||8|||GB RAM|||Snapdragon 865 5G|||4300|||mAh|||Li-Po|||1|||Onyx Black, Interstellar Glow|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-5g-t-mobile.jpg
OnePlus 5|||Released 2017, June|||153g, 7.3mm thickness|||Android 7.1.1, up to 10, OxygenOS 10.0.0|||64GB/128GB storage, no card slot|||5.5"|||1080x1920 pixels|||16|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 835|||3300|||mAh|||Li-Po|||2|||Midnight Black, Slate Gray|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-5.jpg
OnePlus 7 Pro 5G|||Released 2019, September 06|||206g, 8.8mm thickness|||Android 9.0, up to 10, OxygenOS 10.0.4|||128GB/256GB storage, no card slot|||6.67"|||1440x3120 pixels|||48|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 855|||4000|||mAh|||Li-Po|||2|||Mirror Grey, Almond, Nebula Blue|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg
OnePlus 7T Pro|||Released 2019, October 12|||206g, 8.8mm thickness|||Android 10, OxygenOS 10.0.4|||256GB storage, no card slot|||6.67"|||1440x3120 pixels|||48|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 855+|||4085|||mAh|||Li-Po|||2|||Haze Blue, McLaren Edition|||256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-pro.jpg
OnePlus 8T+ 5G|||Released 2020, October 16|||8.4mm thickness|||Android 11, OxygenOS 11|||256GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||12|||GB RAM|||Snapdragon 865 5G|||4500|||mAh|||Li-Po|||1|||Aquamarine Green, Lunar Silver|||256GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-8t.jpg
OnePlus 8 Pro|||Released 2020, April 21|||199g, 8.5mm thickness|||Android 10, up to Android 11, OxygenOS 11|||128GB/256GB storage, no card slot|||6.78"|||1440x3168 pixels|||48|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 865 5G|||4510|||mAh|||Li-Po|||2|||Glacial Green, Ultramarine Blue, Onyx Black|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-pro.jpg
OnePlus 3|||Released 2016, June|||158g, 7.4mm thickness|||Android 6.0.1, up to Android 9.0|||64GB storage, no card slot|||5.5"|||1080x1920 pixels|||16|||MP|||2160p|||6|||GB RAM|||Snapdragon 820|||3000|||mAh|||Li-Ion|||2|||Graphite, soft gold|||64GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-3-.jpg
OnePlus 2|||Released 2015, August|||175g, 9.9mm thickness|||Android 5.1, up to 6.0.1, Oxygen 3.5.6 UI|||16GB/64GB storage, no card slot|||5.5"|||1080x1920 pixels|||13|||MP|||2160p|||3/4|||GB RAM|||Snapdragon 810|||3300|||mAh|||Li-Po|||2|||Sandstone Black|||16GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-two.jpg
OnePlus 6T|||Released 2018, November 01|||185g, 8.2mm thickness|||Android 9.0, up to 11, OxygenOS 11.1.1.1|||128GB/256GB storage, no card slot|||6.41"|||1080x2340 pixels|||20|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 845|||3700|||mAh|||Li-Po|||2|||Thunder Purple, Mirror Black, Midnight Black|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-6t-thunder-purple.jpg
OnePlus Watch|||Released 2021, April 14|||45g, 10.9mm thickness|||Proprietary OS|||4GB 1GB RAM storage, no card slot|||1.39"|||454x454 pixels|||MISSING|||MISSING|||MISSING|||1|||GB RAM|||MISSING|||402|||mAh|||Li-Ion|||1|||Midnight Black, Moonlight Silver, Cobalt, Harry Potter Edition|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch.jpg
OnePlus Nord CE 5G|||Released 2021, June 11|||170g, 7.9mm thickness|||Android 11, OxygenOS 11.0.5.5|||128GB/256GB storage, no card slot|||6.43"|||1080x2400 pixels|||64|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 750G 5G|||4500|||mAh|||Li-Po|||2|||Blue Void, Charkoal Ink, Silver Ray|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-5g.jpg
OnePlus 9RT 5G|||Released 2021, October 19|||198.5g, 8.3mm thickness|||Android 11, ColorOS 12|||128GB/256GB storage, no card slot|||6.62"|||1080x2400 pixels|||50|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Hacker Black, Nano Silver, Blue|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-rt-r.jpg
OnePlus 9|||Released 2021, March 26|||MISSING|||Android 11, up to Android 12, OxygenOS 12|||128GB/256GB storage, no card slot|||6.55"|||1080x2400 pixels|||50|||MP|||4320p|||8/12|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Winter Mist, Arctic Sky, Astral Black|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-.jpg
OnePlus 7T|||Released 2019, September 27|||190g, 8.1mm thickness|||Android 10, up to 11, OxygenOS 11.0.1.1|||128GB/256GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||8|||GB RAM|||Snapdragon 855+|||3800|||mAh|||Li-Po|||2|||Frosted Silver, Glacier Blue, White|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-.jpg
OnePlus 7|||Released 2019, June 04|||182g, 8.2mm thickness|||Android 9.0, up to 11, OxygenOS 11.0.4|||128GB/256GB storage, no card slot|||6.41"|||1080x2340 pixels|||48|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 855|||3700|||mAh|||Li-Po|||2|||Mirror Gray, Red, Mirror Blue|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7--.jpg
